iter	Passed	Remaining
0	37	37757
1	65	32893
2	98	32714
3	130	32559
4	160	31925
5	189	31356
6	224	31821
7	254	31616
8	284	31334
9	317	31441
10	349	31431
11	374	30874
12	409	31072
13	442	31195
14	469	30843
15	495	30475
16	529	30628
17	559	30503
18	587	30311
19	615	30157
20	647	30180
21	673	29950
22	702	29850
23	742	30201
24	770	30032
25	797	29866
26	831	29954
27	864	30010
28	897	30054
29	928	30012
30	955	29861
31	983	29758
32	1011	29653
33	1044	29683
34	1074	29627
35	1102	29510
36	1130	29423
37	1156	29280
38	1183	29166
39	1214	29141
40	1246	29145
41	1270	28972
42	1299	28913
43	1331	28935
44	1361	28887
45	1390	28845
46	1420	28809
47	1446	28682
48	1471	28564
49	1501	28524
50	1531	28489
51	1560	28442
52	1589	28394
53	1619	28365
54	1646	28293
55	1672	28185
56	1701	28149
57	1732	28140
58	1771	28249
59	1800	28202
60	1831	28192
61	1860	28150
62	1891	28128
63	1922	28110
64	1948	28031
65	1974	27940
66	2005	27924
67	2034	27883
68	2062	27828
69	2097	27860
70	2129	27866
71	2153	27756
72	2185	27748
73	2212	27684
74	2240	27632
75	2265	27538
76	2293	27494
77	2324	27482
78	2348	27378
79	2375	27316
80	2420	27461
81	2451	27444
82	2479	27389
83	2509	27366
84	2539	27332
85	2565	27270
86	2596	27249
87	2629	27250
88	2655	27179
89	2684	27143
90	2711	27084
91	2738	27032
92	2763	26949
93	2791	26903
94	2819	26864
95	2844	26789
96	2872	26741
97	2903	26723
98	2935	26714
99	2959	26638
100	2989	26613
101	3018	26575
102	3050	26562
103	3076	26503
104	3107	26487
105	3136	26452
106	3160	26380
107	3188	26331
108	3219	26317
109	3247	26278
110	3272	26212
111	3302	26180
112	3330	26145
113	3355	26081
114	3385	26051
115	3413	26014
116	3439	25956
117	3461	25874
118	3488	25823
119	3518	25801
120	3550	25789
121	3580	25764
122	3605	25710
123	3632	25661
124	3656	25595
125	3683	25549
126	3712	25517
127	3740	25482
128	3765	25425
129	3791	25373
130	3821	25347
131	3849	25316
132	3879	25289
133	3909	25262
134	3938	25236
135	3963	25177
136	3994	25159
137	4023	25129
138	4050	25088
139	4079	25059
140	4110	25042
141	4137	24998
142	4170	24990
143	4200	24968
144	4228	24932
145	4253	24880
146	4283	24854
147	4313	24833
148	4339	24782
149	4380	24824
150	4417	24837
151	4441	24781
152	4469	24742
153	4496	24700
154	4525	24670
155	4552	24630
156	4578	24586
157	4612	24578
158	4637	24529
159	4663	24481
160	4694	24464
161	4726	24447
162	4751	24400
163	4781	24374
164	4811	24350
165	4838	24310
166	4871	24296
167	4899	24263
168	4930	24242
169	4952	24181
170	4982	24153
171	5011	24122
172	5039	24091
173	5067	24054
174	5096	24025
175	5125	23998
176	5151	23952
177	5179	23918
178	5204	23871
179	5231	23833
180	5256	23785
181	5284	23751
182	5312	23715
183	5336	23667
184	5365	23638
185	5395	23612
186	5422	23575
187	5448	23535
188	5482	23527
189	5510	23490
190	5537	23454
191	5564	23415
192	5591	23379
193	5621	23354
194	5647	23312
195	5674	23277
196	5705	23257
197	5732	23218
198	5758	23179
199	5788	23155
200	5817	23126
201	5846	23095
202	5876	23071
203	5909	23056
204	5935	23017
205	5961	22977
206	5996	22970
207	6022	22932
208	6049	22897
209	6087	22898
210	6115	22866
211	6138	22814
212	6162	22769
213	6195	22755
214	6219	22710
215	6243	22661
216	6269	22623
217	6304	22615
218	6330	22577
219	6358	22543
220	6391	22528
221	6417	22489
222	6449	22470
223	6475	22431
224	6505	22407
225	6533	22376
226	6562	22345
227	6592	22322
228	6618	22283
229	6640	22229
230	6669	22202
231	6698	22173
232	6724	22136
233	6748	22091
234	6775	22056
235	6806	22035
236	6831	21994
237	6867	21986
238	6896	21959
239	6923	21925
240	6951	21891
241	6978	21858
242	7005	21824
243	7034	21795
244	7062	21765
245	7091	21736
246	7120	21707
247	7148	21676
248	7175	21640
249	7203	21610
250	7225	21562
251	7250	21521
252	7280	21496
253	7309	21466
254	7334	21428
255	7376	21437
256	7404	21407
257	7431	21373
258	7459	21340
259	7488	21313
260	7515	21279
261	7542	21246
262	7569	21213
263	7599	21185
264	7627	21155
265	7652	21115
266	7680	21086
267	7714	21071
268	7739	21033
269	7770	21009
270	7797	20976
271	7825	20945
272	7854	20916
273	7884	20891
274	7913	20863
275	7940	20828
276	7969	20802
277	7995	20764
278	8025	20739
279	8058	20722
280	8090	20701
281	8128	20695
282	8154	20661
283	8187	20642
284	8213	20606
285	8238	20568
286	8263	20529
287	8294	20505
288	8320	20470
289	8349	20442
290	8381	20420
291	8409	20389
292	8435	20355
293	8463	20323
294	8492	20296
295	8519	20262
296	8548	20233
297	8578	20208
298	8615	20198
299	8641	20163
300	8670	20135
301	8699	20105
302	8722	20064
